"","short","long","countrycode","lon","lat","alt"
"96","Brockenhurst","Brockenhurst parkrun",97,-1.567457,50.821883,11.7509717941284
"97","Brockwell","Brockwell parkrun, Herne Hill",97,-0.105464,51.452538,25.651517868042
"98","Bromley","Bromley parkrun",97,0.022874,51.386539,53.6738357543945
"99","Brooklands","Brooklands parkrun",97,-0.471408,51.346969,17.1544818878174
"100","Brueton","Brueton parkrun",97,-1.764593,52.406754,120.159950256348
"101","Brundall","Brundall parkrun",97,1.417369,52.624133,9.13429927825928
"102","Bryn Bach","Bryn Bach parkrun",97,-3.269548,51.781621,367.477783203125
"103","Brynaman","Brynaman parkrun",97,-3.869719,51.808402,144.893951416016
"104","Buckingham","Buckingham parkrun",97,-0.984462,51.998987,83.1169662475586
"105","Burgess","Burgess parkrun",97,-0.081024,51.484536,3.25831317901611
"106","Burnage","Burnage parkrun",97,-2.209185,53.407152,34.0151863098145
"107","Burnham and Highbridge","Burnham and Highbridge parkrun",97,-2.990243,51.226679,3.82999324798584
"108","Burnham-on-Crouch","Burnham-on-Crouch parkrun",97,0.810923,51.627409,2.00882005691528
"109","Burnley","Burnley parkrun",97,-2.221555,53.77834,122.855308532715
"110","Bury Field","Bury Field parkrun",97,-0.728725,52.088015,59.2840576171875
"111","Bury St Edmunds","Bury St Edmunds parkrun",97,0.730183,52.224887,53.7616348266602
"112","Bushy Park","Bushy parkrun",97,-0.335791,51.410992,12.8002138137817
"113","California Country","California Country parkrun",97,-0.867647,51.379583,70.2997741699219
"114","Camperdown","Camperdown parkrun, Dundee",97,-3.030896,56.483681,119.658187866211
"115","Cannock Chase","Cannock Chase parkrun",97,-1.99542,52.73744,201.545303344727
"116","Cannon Hill","Cannon Hill parkrun, Birmingham",97,-1.89997,52.452637,116.58065032959
"117","Canons Park","Canons Park parkrun",97,-0.296184,51.612291,71.4789962768555
"118","Canterbury","Canterbury parkrun",97,1.057002,51.299468,64.8041076660156
"119","Cardiff","Cardiff parkrun",97,-3.207107,51.49736,16.4261989593506
"120","Carlisle","Carlisle parkrun",97,-2.963455,54.886025,42.2557983398438
"121","Carlisle Park","Carlisle Park parkrun, Morpeth",97,-1.691159,55.165172,31.516773223877
"122","Carrickfergus","Carrickfergus parkrun",97,-5.805285,54.719992,12.0940990447998
"123","Cassiobury","Cassiobury parkrun",97,-0.406335,51.657677,76.9014587402344
"124","Castle Park","Castle Park parkrun",97,0.164165,51.87167,58.4324111938477
"125","Castlewellan","Castlewellan parkrun",97,-5.95386,54.262147,122.018280029297
"126","Catford","Catford parkrun",97,-0.00863,51.44824,32.6740112304688
"127","Catton","Catton parkrun",97,1.295507,52.656696,24.8166675567627
"128","Central, Plymouth","Central parkrun, Plymouth",97,-4.151031,50.385099,50.1303672790527
"129","Centre Vale","Centre Vale parkrun",97,-2.102438,53.718272,128.495101928711
"130","Chadderton Hall","Chadderton Hall parkrun",97,-2.158552,53.554066,107.197418212891
"131","Chalkwell Beach","Chalkwell Beach parkrun",97,0.676231,51.536925,3.96890997886658
"132","Charlton","Charlton parkrun",97,0.041628,51.480751,44.8472023010254
"133","Chasewater","Chasewater parkrun",97,-1.944407,52.661987,151.705108642578
"134","Cheadle Hulme","Cheadle Hulme parkrun",97,-2.210652,53.379026,64.0789566040039
"135","Chelmsford Central","Chelmsford Central parkrun",97,0.464945,51.732577,25.3592948913574
"136","Cheltenham","Cheltenham parkrun",97,-2.07824,51.911754,53.9765472412109
"137","Chester","Chester parkrun",97,-2.902368,53.207796,9.95663452148438
"138","Chevin Forest","Chevin Forest parkrun",97,-1.665858,53.894133,211.039733886719
"139","Chichester","Chichester parkrun",97,-0.777535,50.846182,27.097146987915
"140","Chilton Fields","Chilton Fields parkrun",97,0.975934,52.197076,51.9642715454102
"141","Chippenham","Chippenham parkrun",97,-2.113119,51.460469,51.0385551452637
"142","Chippenham Playing Fields, Monmouth","Chippenham Playing Fields parkrun, Monmouth",97,-2.718161,51.80783,16.7565498352051
"143","Chipping Norton School","Chipping Norton School parkrun",97,-1.54029,51.93812,221.524826049805
"144","Chipping Sodbury","Chipping Sodbury parkrun",97,-2.397165,51.544366,95.5904998779297
"145","Chopwell Wood","Chopwell Wood parkrun",97,-1.790884,54.922026,175.252243041992
"146","Church Mead","Church Mead parkrun",97,-0.614472,51.667191,94.2846908569336
"147","Cirencester","Cirencester parkrun",97,-1.99109,51.711207,133.338760375977
"148","Citypark","Citypark parkrun, Craigavon",97,-6.386002,54.451093,26.0928363800049
"149","Clacton Seafront","Clacton Seafront parkrun",97,1.142974,51.781574,3.19944524765015
"150","Clair","Clair parkrun",97,-0.100143,51.004322,63.5542831420898
"151","Clapham Common","Clapham Common parkrun",97,-0.151331,51.455873,29.3846340179443
"152","Clare Castle","Clare Castle parkrun",97,0.581882,52.076428,48.2614326477051
"153","Cleethorpes","Cleethorpes parkrun",97,-0.025384,53.541552,2.23891544342041
"154","Clevedon Salthouse Fields","Clevedon Salthouse Fields parkrun",97,-2.866505,51.434573,5.60314655303955
"155","Cliffe Castle","Cliffe Castle parkrun",97,-1.913364,53.874658,135.060256958008
"156","Clifton","Clifton parkrun",97,-1.163033,52.907144,29.2094287872314
"157","Clitheroe Castle","Clitheroe Castle parkrun",97,-2.39478,53.870346,84.4290618896484
"158","Clumber Park","Clumber Park parkrun",97,-1.065717,53.268022,52.0792274475098
"159","Coed Cefn-pwll-du","Coed Cefn-pwll-du parkrun",97,-3.140954,51.591855,89.2777481079102
"160","Colby","Colby parkrun",97,-4.669924,51.74064,41.9197540283203
"161","Colchester Castle","Colchester Castle parkrun",97,0.902724,51.89167,20.1373062133789
"162","Coldhams Common","Coldhams Common parkrun",97,0.158881,52.206705,10.6177368164062
"163","Colin Glen","Colin Glen parkrun",97,-6.020504,54.570723,83.4261016845703
"164","Colney Lane","Colney Lane parkrun",97,1.22519,52.621317,9.60105323791504
"165","Colwick","Colwick parkrun",97,-1.09786,52.945171,22.9558372497559
"166","Comber","Comber parkrun",97,-5.740415,54.549593,4.54973173141479
"167","Concord","Concord parkrun, Sheffield",97,-1.441612,53.424007,137.822525024414
"168","Congleton","Congleton parkrun",97,-2.229795,53.160781,96.9027404785156
"169","Conkers","Conkers parkrun",97,-1.543021,52.739475,96.6347885131836
"170","Conwy","Conwy parkrun",97,-3.808966,53.279388,4.00802898406982
"171","Conyngham Hall","Conyngham Hall parkrun",97,-1.479507,54.011758,46.3240814208984
"172","Corby","Corby parkrun",97,-0.691774,52.493879,115.552589416504
"173","Cosmeston Lakes","Cosmeston Lakes parkrun",97,-3.185615,51.418047,15.7426986694336
"174","Cotsford Fields","Cotsford Fields parkrun",97,-1.30077,54.759499,39.2701263427734
"175","Coventry","Coventry parkrun",97,-1.524026,52.39172,94.599983215332
"176","Cranbrook Country Park","Cranbrook Country Park parkrun",97,-3.417858,50.750746,17.8392963409424
"177","Crane Park","Crane Park parkrun",97,-0.372075,51.441168,17.0632343292236
"178","Cranleigh","Cranleigh parkrun",97,-0.49151,51.13819,56.8060111999512
"179","Crathes Castle","Crathes Castle parkrun",97,-2.440954,57.061178,89.6805267333984
"180","Crawfordsburn Country","Crawfordsburn Country parkrun",97,-5.729434,54.666682,19.9991626739502
"181","Crewe","Crewe parkrun",97,-2.470556,53.097388,50.3140602111816
"182","Crichton","Crichton parkrun",97,-3.594589,55.050773,48.3952217102051
"183","Crosby","Crosby parkrun",97,-3.046711,53.48269,5.50727844238281
"184","Cross Flatts","Cross Flatts parkrun",97,-1.55757,53.775754,79.0934600830078
"185","Croxteth Hall","Croxteth Hall parkrun",97,-2.891774,53.44217,28.5014190673828
"186","Crystal Palace","Crystal Palace parkrun",97,-0.065703,51.419846,67.2417144775391
"187","Cusworth Hall","Cusworth Hall parkrun",97,-1.177617,53.529479,49.4864158630371
"188","Cwmbran","Cwmbran parkrun",97,-3.013498,51.656234,59.1053886413574
"189","Cyclopark","Cyclopark parkrun",97,0.352561,51.419922,44.021915435791
"190","Dalby Forest","Dalby Forest parkrun",97,-0.686599,54.273821,89.0315170288086
"191","Dallas Burston Polo Club","Dallas Burston Polo Club parkrun",97,-1.417387,52.25721,93.8106918334961
"192","Darlington South Park","Darlington South Park parkrun",97,-1.560531,54.51484,43.0644836425781
"193","Dartford","Dartford parkrun",97,0.220166,51.439141,5.6322660446167
"194","Dartford Heath","Dartford Heath parkrun",97,0.189929,51.435932,37.4427146911621
"195","Daventry","Daventry parkrun",97,-1.15732,52.262374,132.172225952148
"196","Dean Castle Country Park","Dean Castle Country Park parkrun",97,-4.482932,55.622901,55.5334129333496
"197","Delamere","Delamere parkrun",97,-2.68796,53.239537,94.9018478393555
"198","Denton Dene","Denton Dene parkrun",97,-1.694872,54.977492,35.4079399108887
"199","Derry City","Derry City parkrun",97,-7.318933,55.006966,3.49488806724548
"200","Derrynoid Forest","Derrynoid Forest parkrun",97,-6.810505,54.802964,105.336265563965
"201","Dewsbury","Dewsbury parkrun",97,-1.646237,53.688239,89.5954360961914
"202","Didcot","Didcot parkrun",97,-1.239,51.612792,51.9828262329102
"203","Dinton Pastures","Dinton Pastures parkrun",97,-0.880056,51.440292,38.5591621398926
"204","Dishley, Loughborough","Dishley parkrun, Loughborough",97,-1.234785,52.787485,36.0324440002441
"205","Doddington Hall","Doddington Hall parkrun",97,-0.650558,53.222149,28.1455459594727
"206","Dolgellau","Dolgellau parkrun",97,-3.886527,52.744574,11.8961038589478
"207","Downham Market Academy","Downham Market Academy parkrun",97,0.389471,52.6034,40.3345375061035
"208","Drumchapel","Drumchapel parkrun",97,-4.350674,55.91688,49.0447158813477
"209","Drumpellier Country","Drumpellier Country parkrun",97,-4.065615,55.871588,81.0967636108398
"210","Druridge Bay","Druridge Bay parkrun",97,-1.572348,55.292765,6.6502103805542
"211","Dudley","Dudley parkrun",97,-2.134568,52.490027,106.464904785156
"212","Dulwich","Dulwich parkrun",97,-0.079206,51.443869,41.3833351135254
"213","Dunfermline","Dunfermline parkrun",97,-3.470694,56.070684,82.5505142211914
"214","Dungannon Park","Dungannon Park parkrun",97,-6.755359,54.489432,71.3033828735352
"215","Dunleath Playing Fields","Dunleath Playing Fields parkrun",97,-5.718077,54.323473,2.36669588088989
"216","Dunstable Downs","Dunstable Downs parkrun",97,-0.537791,51.865432,237.130065917969
"217","Durham","Durham parkrun",97,-1.558852,54.767605,35.4406623840332
"218","Durlston Country Park","Durlston Country Park parkrun",97,-1.954023,50.595211,68.9843063354492
"219","East Brighton","East Brighton parkrun",97,-0.099373,50.818691,41.3758087158203
"220","East Grinstead","East Grinstead parkrun",97,0.001373,51.129008,109.565032958984
"221","East Park","East Park parkrun",97,-2.101975,52.579042,141.15299987793
"222","Eastbourne","Eastbourne parkrun",97,0.290451,50.806248,1.79336643218994
"223","Eastleigh","Eastleigh parkrun",97,-1.374032,50.971433,16.4733600616455
"224","Eastville","Eastville parkrun",97,-2.554304,51.475453,33.7101287841797
"225","Ecos","Ecos parkrun, Ballymena",97,-6.259117,54.867371,46.2091407775879
"226","Eden Project","Eden Project parkrun",97,-4.74285,50.358315,86.2925643920898
"227","Edenbrook Country","Edenbrook Country parkrun",97,-0.867088,51.280199,63.3302917480469
"228","Edgbaston Reservoir","Edgbaston Reservoir parkrun",97,-1.936437,52.476722,152.616729736328
"229","Edinburgh","Edinburgh parkrun",97,-3.291585,55.978806,9.13331413269043
"230","Eglinton","Eglinton parkrun",97,-4.669662,55.643935,13.6199426651001
"231","Elder Park","Elder Park parkrun",97,-4.32197,55.863235,8.42029285430908
"232","Elgin","Elgin parkrun",97,-3.313072,57.653393,17.1540508270264
"233","Ellesmere Port","Ellesmere Port parkrun",97,-2.902542,53.272524,33.7538528442383
"234","Ellon","Ellon parkrun",97,-2.056968,57.359262,15.8522834777832
"235","Endcliffe","Endcliffe parkrun",97,-1.507364,53.368631,114.410697937012
"236","Enniskillen","Enniskillen parkrun",97,-7.642293,54.343834,42.9535522460938
"237","Epworth Equestrian","Epworth Equestrian parkrun",97,-0.87384,53.539368,3.96842837333679
"238","Erddig","Erddig parkrun",97,-3.006833,53.027137,88.1762619018555
"239","Erskine Waterfront","Erskine Waterfront parkrun",97,-4.447774,55.907749,0.138361781835556
"240","Evesham","Evesham parkrun",97,-1.958122,52.090191,23.6573143005371
"241","Exeter Riverside","Exeter Riverside parkrun",97,-3.525833,50.713762,7.71161079406738
"242","Exmouth","Exmouth parkrun",97,-3.412392,50.614697,5.44720697402954
"243","Falkirk","Falkirk parkrun",97,-3.766712,55.99543,41.1902008056641
"244","Falls","Falls parkrun, Belfast",97,-5.978879,54.586363,33.6821517944336
"245","Fareham","Fareham parkrun",97,-1.167385,50.848448,8.80104827880859
"246","Faskally Forest","Faskally Forest parkrun",97,-3.767296,56.7118,116.292655944824
"247","Felixstowe","Felixstowe parkrun",97,1.345741,51.957778,0
"248","Fell Foot","Fell Foot parkrun, Newby Bridge",97,-2.952259,54.274736,52.9973411560059
"249","Ferry Meadows","Ferry Meadows parkrun",97,-0.308132,52.565563,4.7251443862915
"250","Finsbury Park","Finsbury parkrun",97,-0.104145,51.569595,45.3820381164551
"251","Flatts Lane","Flatts Lane parkrun",97,-1.151741,54.543872,89.3337097167969
"252","Fleetwood Promenade","Fleetwood Promenade parkrun",97,-3.016919,53.927366,6.11169719696045
"253","Flegg High","Flegg High parkrun",97,1.640492,52.713022,14.0345325469971
"254","Fletcher Moss","Fletcher Moss parkrun",97,-2.23551,53.40999,30.9390525817871
"255","Folkestone","Folkestone parkrun",97,1.172753,51.075729,39.4611740112305
"256","Foots Cray Meadows","Foots Cray Meadows parkrun",97,0.133269,51.432103,20.1439113616943
"257","Ford","Ford parkrun",97,-3.088135,54.198427,27.6984634399414
"258","Forest Rec","Forest Rec parkrun",97,-1.159766,52.965352,50.9236068725586
"259","Forest of Dean","Forest of Dean parkrun",97,-2.605219,51.808701,232.994140625
"260","Forfar Loch","Forfar Loch parkrun",97,-2.908213,56.642663,55.8721580505371
"261","Fort William","Fort William parkrun",97,-4.999161,56.851484,100.462326049805
"262","Fountains Abbey","Fountains Abbey parkrun",97,-1.581983,54.110196,96.082145690918
"263","Frickley Country","Frickley Country parkrun",97,-1.290457,53.588573,42.9527702331543
"264","Frimley Lodge","Frimley Lodge parkrun",97,-0.724851,51.298622,70.6377334594727
"265","Frogmary Green Farm","Frogmary Green Farm parkrun",97,-2.824426,50.941688,60.5337677001953
"266","Fulbourn Hospital","Fulbourn Hospital parkrun",97,0.186094,52.184131,20.1425189971924
"267","Fulham Palace","Fulham Palace parkrun",97,-0.218493,51.472465,7.94833087921143
"268","Gadebridge","Gadebridge parkrun",97,-0.473542,51.758909,91.532470703125
"269","Ganavan Sands","Ganavan Sands parkrun",97,-5.469021,56.437766,5.59828090667725
"270","Ganger Farm","Ganger Farm parkrun",97,-1.464821,51.009374,46.9747047424316
"271","Garvagh Forest","Garvagh Forest parkrun",97,-6.695537,54.977416,84.5216064453125
"272","Gateshead","Gateshead parkrun",97,-1.602094,54.944733,70.6856002807617
"273","Gedling","Gedling parkrun",97,-1.087124,52.993919,107.16194152832
"274","Girvan Prom","Girvan Prom parkrun",97,-4.862538,55.243994,1.07984220981598
"275","Gladstone","Gladstone parkrun",97,-0.228223,51.556982,41.8235092163086
"276","Glossop","Glossop parkrun",97,-1.939503,53.447019,167.432571411133
"277","Gloucester City","Gloucester City parkrun",97,-2.243129,51.858707,17.1141719818115
"278","Gloucester North","Gloucester North parkrun",97,-2.231707,51.878304,10.2391939163208
"279","Gnoll","Gnoll parkrun",97,-3.788616,51.661114,60.1059875488281
"280","Goole","Goole parkrun",97,-0.891098,53.710492,4.26938104629517
"281","Gorleston Cliffs","Gorleston Cliffs parkrun",97,1.73069,52.567806,11.6774988174438
"282","Grangemoor","Grangemoor parkrun",97,-3.192412,51.454464,9.3457612991333
"283","Graves","Graves parkrun",97,-1.464657,53.338906,221.867553710938
"284","Great Cornard","Great Cornard parkrun",97,0.751362,52.02463,25.7877883911133
"285","Great Denham","Great Denham parkrun",97,-0.509062,52.121602,27.9634113311768
"286","Great Dunmow","Great Dunmow parkrun",97,0.3627,51.878681,62.8377876281738
"287","Great Lines","Great Lines parkrun, Medway",97,0.541334,51.388527,39.5019798278809
"288","Great Notley","Great Notley parkrun",97,0.51584,51.864147,74.0378341674805
"289","Great Salterns","Great Salterns parkrun",97,-1.046606,50.809385,0.891635239124298
"290","Great Yarmouth North Beach","Great Yarmouth North Beach parkrun",97,1.73892,52.613141,3.22149658203125
"291","Greenfield Valley","Greenfield Valley parkrun",97,-3.220992,53.275044,100.719161987305
"292","Greenock","Greenock parkrun",97,-4.767348,55.956525,0
"293","Greenwich","Greenwich parkrun",97,0.075155,51.449459,53.4207534790039
"294","Groe","Groe parkrun",97,-3.403113,52.150418,124.739707946777
"295","Grove Fields","Grove Fields parkrun",97,-1.425256,51.600059,80.4487228393555
"296","Grovelands","Grovelands parkrun, Enfield",97,-0.113769,51.633076,55.7693367004395
"297","Guildford","Guildford parkrun",97,-0.562062,51.247383,45.8767700195312
"298","Gunnersbury","Gunnersbury parkrun",97,-0.292253,51.499405,24.744176864624
"299","Gunpowder","Gunpowder parkrun",97,-0.000831,51.676037,19.3329257965088
"300","Hackney Marshes","Hackney Marshes parkrun",97,-0.025368,51.553686,7.59779119491577
"301","Hackworth","Hackworth parkrun",97,-1.644945,54.628071,124.495185852051
"302","Hadleigh","Hadleigh parkrun, Essex",97,0.59606,51.549769,66.0697555541992
"303","Hafan Pwllheli","Hafan Pwllheli parkrun",97,-4.402811,52.888538,0
"304","Haigh Woodland","Haigh Woodland parkrun",97,-2.609519,53.572714,146.431106567383
"305","Haldon Forest","Haldon Forest parkrun",97,-3.579359,50.653392,247.471649169922
"306","Halifax","Halifax parkrun",97,-1.873871,53.731746,188.268936157227
"307","Hampstead Heath","Hampstead Heath parkrun",97,-0.168185,51.558598,85.1645736694336
"308","Hamsterley Forest","Hamsterley Forest parkrun",97,-1.858786,54.675593,148.892150878906
"309","Hanley","Hanley parkrun",97,-2.175164,53.012501,124.801910400391
"310","Hanworth","Hanworth parkrun",97,-0.398287,51.43874,23.5063495635986
"311","Harcourt Hill","Harcourt Hill parkrun",97,-1.295191,51.739369,122.643714904785
"312","Harleston Magpies","Harleston Magpies parkrun",97,1.295457,52.384367,25.1336688995361
"313","Harlow","Harlow parkrun",97,0.103624,51.77766,55.2822494506836
"314","Harrogate","Harrogate parkrun",97,-1.521435,53.992428,112.394958496094
"315","Harrow","Harrow parkrun",97,-0.342734,51.581781,64.1760711669922
"316","Harrow Lodge","Harrow Lodge parkrun",97,0.200715,51.555606,10.9972620010376
"317","Hartlepool","Hartlepool parkrun",97,-1.195128,54.686937,0.0223548393696547
"318","Harwich","Harwich parkrun",97,1.284809,51.938035,9.21064281463623
"319","Hastings","Hastings parkrun",97,0.539739,50.850291,3.33225631713867
"320","Hastings High School","Hastings High School parkrun",97,-1.356127,52.53526,127.869270324707
"321","Havant","Havant parkrun",97,-0.975565,50.875771,42.9908256530762
"322","Haverfordwest","Haverfordwest parkrun",97,-4.992836,51.797163,64.7827301025391
"323","Haverhill","Haverhill parkrun",97,0.422212,52.076737,106.295280456543
"324","Hay Lodge","Hay Lodge parkrun",97,-3.199586,55.651659,166.575271606445
"325","Hazelwood","Hazelwood parkrun",97,-0.421045,51.405783,9.68973255157471
"326","Hazlehead","Hazlehead parkrun, Aberdeen",97,-2.175647,57.141371,114.442390441895
"327","Heartlands","Heartlands parkrun",97,-5.2715,50.224177,111.836532592773
"328","Heaton Park","Heaton parkrun",97,-2.256263,53.531975,79.2368927001953
"329","Henley Wood, Oswestry","Henley Wood parkrun, Oswestry",97,-3.030368,52.862542,113.596000671387
"330","Henley-on-Thames","Henley-on-Thames parkrun",97,-0.919288,51.531978,63.0522804260254
"331","Henlow Bridge Lakes","Henlow Bridge Lakes parkrun",97,-0.268787,52.030537,35.431037902832
